COD_PAR;COD_PAR_INV;TALHAO;MATGEN;PARCELA;LEVANTAMENTO;ANO;IDADE;DAP;DENSIDADE;AREABASAL;ALTURA;ALTURADOMINANTE;VOLUMECOMERCIAL;VOLUMETOTAL;S2;S1;PR;Classe Idade;NMED;SEQMED;NV;VC/VT;
90103-480-71_28;90103-480-71_28_IFC 2010;90103-480-71;Pinus taeda;28;IFC 2010;2010;13,4;22,9;1439,0;3,1;20,2;21,8;516,1;541,9;89,7;108,7;317,7;13,0;2;1;2,7;0,95;
90103-480-71_28;90103-480-71_28_IFC 2012;90103-480-71;Pinus taeda;28;IFC 2012;2012;15,0;23,7;1399,0;3,2;23,4;23,7;630,2;655,0;141,0;135,0;354,2;15,0;2;2;2,1;0,96;
90103-482-71_24;90103-482-71_24_IFC 2010;90103-482-71;Pinus taeda;24;IFC 2010;2010;13,4;24,6;1439,0;3,6;20,9;24,0;634,9;659,4;187,6;134,3;313,1;13,0;2;1;2,2;0,96;
90103-482-71_24;90103-482-71_24_IFC 2012;90103-482-71;Pinus taeda;24;IFC 2012;2012;15,0;25,4;1339,1;3,4;24,0;25,6;715,6;738,4;222,6;161,6;331,4;15,0;2;2;1,8;0,97;
90103-483-71_23;90103-483-71_23_IFC 2010;90103-483-71;Pinus taeda;23;IFC 2010;2010;13,4;23,9;1379,1;3,3;20,4;21,7;553,9;578,0;133,3;119,9;300,8;13,0;2;1;2,4;0,96;
90103-483-71_23;90103-483-71_23_IFC 2012;90103-483-71;Pinus taeda;23;IFC 2012;2012;15,0;24,0;1319,1;3,1;23,5;23,2;616,4;639,5;149,5;141,6;325,4;15,0;2;2;2,1;0,96;
90103-487-71_1;90103-487-71_1_IFC 2010;90103-487-71;Pinus taeda;1;IFC 2010;2010;13,4;22,7;1558,9;3,3;20,0;19,4;554,9;583,7;85,5;138,7;330,7;13,0;2;1;2,7;0,95;
90103-487-71_1;90103-487-71_1_IFC 2012;90103-487-71;Pinus taeda;1;IFC 2012;2012;15,0;23,4;1479,0;3,4;22,8;19,7;636,2;662,2;139,2;152,1;344,9;15,0;2;2;2,2;0,96;
90103-487-71_2;90103-487-71_2_IFC 2010;90103-487-71;Pinus taeda;2;IFC 2010;2010;13,4;22,7;1658,9;3,5;19,9;20,0;568,7;597,3;90,6;95,8;382,3;13,0;2;1;2,8;0,95;
90103-487-71_2;90103-487-71_2_IFC 2012;90103-487-71;Pinus taeda;2;IFC 2012;2012;15,0;22,9;1578,9;3,4;23,0;23,3;649,7;678,5;122,2;114,9;412,7;15,0;2;2;2,3;0,96;
90103-489-71_4;90103-489-71_4_IFC 2010;90103-489-71;Pinus taeda;4;IFC 2010;2010;13,4;22,5;1538,9;3,3;20,1;20,7;565,0;593,6;160,0;114,1;291,0;13,0;2;1;2,6;0,95;
90103-489-71_4;90103-489-71_4_IFC 2012;90103-489-71;Pinus taeda;4;IFC 2012;2012;15,0;24,8;1339,1;3,4;23,4;21,9;665,6;689,3;219,6;130,5;315,5;15,0;2;2;1,9;0,97;
90103-489-71_6;90103-489-71_6_IFC 2010;90103-489-71;Pinus taeda;6;IFC 2010;2010;13,4;24,0;1538,9;3,6;20,5;22,2;631,2;658,8;167,9;150,4;312,9;13,0;2;1;2,3;0,96;
90103-489-71_6;90103-489-71_6_IFC 2012;90103-489-71;Pinus taeda;6;IFC 2012;2012;15,0;24,9;1419,0;3,6;23,8;23,2;718,4;743,5;199,1;171,9;347,5;15,0;2;2;1,9;0,97;
90103-49-03_10;90103-49-03_10_IFC 2010;90103-49-03;Pinus taeda;10;IFC 2010;2010;7,4;17,8;1558,9;2,0;12,2;13,6;195,6;220,9;0,0;9,7;185,9;7,0;3;1;7,1;0,89;
90103-49-03_10;90103-49-03_10_IFC 2013;90103-49-03;Pinus taeda;10;IFC 2013;2013;8,9;19,7;1519,0;2,4;15,8;16,5;320,4;346,8;12,5;44,4;263,5;9,0;3;2;4,4;0,92;
90103-49-03_10;90103-49-03_10_IFC 2013;90103-49-03;Pinus taeda;10;IFC 2013;2013;10,0;20,4;1499,0;2,6;16,0;17,0;344,7;370,0;16,2;65,8;262,7;10,0;3;3;4,1;0,93;
90103-490-71_7;90103-490-71_7_IFC 2010;90103-490-71;Pinus taeda;7;IFC 2010;2010;13,4;23,0;1598,9;3,6;19,8;18,3;572,5;599,8;111,0;121,6;339,9;13,0;2;1;2,7;0,95;
90103-490-71_7;90103-490-71_7_IFC 2012;90103-490-71;Pinus taeda;7;IFC 2012;2012;15,0;23,8;1519,0;3,6;23,0;21,3;680,7;707,5;153,8;159,8;367,1;15,0;2;2;2,1;0,96;
90103-492-71_5;90103-492-71_5_IFC 2010;90103-492-71;Pinus taeda;5;IFC 2010;2010;13,4;23,8;1499,0;3,5;20,3;21,0;589,1;615,6;118,0;148,5;322,7;13,0;2;1;2,4;0,96;
90103-492-71_5;90103-492-71_5_IFC 2012;90103-492-71;Pinus taeda;5;IFC 2012;2012;15,0;25,3;1419,0;3,7;23,7;21,8;724,4;748,2;180,1;182,5;361,8;15,0;2;2;1,9;0,97;
90103-51-00_6;90103-51-00_6_IFC 2011;90103-51-00;Pinus taeda;6;IFC 2011;2011;11,5;21,8;1399,0;2,7;18,0;22,4;427,5;451,8;75,3;91,5;260,7;11,0;2;1;3,1;0,95;
90103-51-00_6;90103-51-00_6_IFC 2014;90103-51-00;Pinus taeda;6;IFC 2014;2014;14,0;22,1;1379,1;2,8;20,1;22,7;464,4;491,3;83,1;95,2;286,1;14,0;2;2;2,8;0,95;
90103-52-02_5;90103-52-02_5_IFC 2011;90103-52-02;Pinus taeda;5;IFC 2011;2011;9,5;23,4;1079,3;2,5;19,4;18,3;432,0;450,4;148,4;97,5;186,1;9,0;2;1;2,4;0,96;
90103-52-02_5;90103-52-02_5_IFC 2014;90103-52-02;Pinus taeda;5;IFC 2014;2014;12,0;23,9;1079,3;2,6;19,4;19,9;437,9;456,9;146,4;89,3;202,2;12,0;2;2;2,4;0,96;
90103-54-05_10;90103-54-05_10_IFC 2013;90103-54-05;Pinus taeda;10;IFC 2013;2013;7,1;19,3;1339,1;2,0;13,2;13,3;219,6;243,8;0,0;24,4;195,2;7,0;2;1;5,5;0,90;
90103-54-05_10;90103-54-05_10_IFC 2013;90103-54-05;Pinus taeda;10;IFC 2013;2013;7,9;20,5;1319,1;2,3;13,7;14,9;267,3;287,3;15,6;52,6;199,1;8,0;2;2;4,6;0,93;
90103-56-05_9;90103-56-05_9_IFC 2013;90103-56-05;Pinus taeda;9;IFC 2013;2013;7,1;18,1;1578,9;2,1;13,0;12,9;218,7;247,4;0,0;2,4;216,3;7,0;2;1;6,4;0,88;
90103-56-05_9;90103-56-05_9_IFC 2013;90103-56-05;Pinus taeda;9;IFC 2013;2013;7,9;19,2;1558,9;2,3;13,4;14,5;258,3;284,7;0,0;31,3;226,9;8,0;2;2;5,5;0,91;
90103-57-05_11;90103-57-05_11_IFC 2013;90103-57-05;Pinus taeda;11;IFC 2013;2013;7,1;18,4;1439,0;2,0;13,1;13,8;211,6;236,8;0,0;10,2;201,4;7,0;2;1;6,1;0,89;
90103-57-05_11;90103-57-05_11_IFC 2013;90103-57-05;Pinus taeda;11;IFC 2013;2013;7,9;19,8;1379,1;2,3;13,7;15,8;253,5;275,7;6,6;44,7;202,2;8,0;2;2;5,0;0,92;
90103-59-02_7;90103-59-02_7_IFC 2011;90103-59-02;Pinus taeda;7;IFC 2011;2011;9,5;20,6;1519,0;2,7;18,7;17,0;425,7;451,2;43,4;88,9;293,4;9,0;2;1;3,4;0,94;
90103-59-02_7;90103-59-02_7_IFC 2014;90103-59-02;Pinus taeda;7;IFC 2014;2014;12,0;21,1;1499,0;2,7;19,0;19,9;439,9;465,5;42,3;84,7;312,9;12,0;2;2;3,2;0,95;
90103-621-71_11;90103-621-71_11_IFC 2010;90103-621-71;Pinus taeda;11;IFC 2010;2010;13,4;23,4;1598,9;3,5;20,0;18,9;588,2;615,7;87,4;134,3;366,5;13,0;2;1;2,6;0,96;
90103-621-71_11;90103-621-71_11_IPC 2012;90103-621-71;Pinus taeda;11;IPC 2012;2012;14,6;24,0;1499,0;3,5;23,9;26,3;725,7;753,3;219,9;142,2;363,6;15,0;2;2;2,0;0,96;
90103-65-02_21;90103-65-02_21_IFC 2011;90103-65-02;Pinus taeda;21;IFC 2011;2011;9,5;20,9;1439,0;2,7;18,8;18,1;425,8;453,4;65,1;87,0;273,7;9,0;2;1;3,2;0,94;
90103-65-02_21;90103-65-02_21_IFC 2014;90103-65-02;Pinus taeda;21;IFC 2014;2014;12,0;22,2;1359,1;2,8;19,1;20,4;447,7;471,0;80,3;92,7;274,8;12,0;2;2;2,9;0,95;
