COD_PAR;COD_PAR_INV;TALHAO;MATGEN;PARCELA;LEVANTAMENTO;ANO;IDADE;DAP;DENSIDADE;AREABASAL;ALTURA;ALTURADOMINANTE;VOLUMECOMERCIAL;VOLUMETOTAL;S2;S1;PR;Classe Idade;NMED;SEQMED;NV;VC/VT;
90101-10-01_16;90101-10-01_16_IFC 2010;90101-10-01;Pinus taeda;16;IFC 2010;2010;9,4;18,2;1459,0;2,0;13,1;14,0;214,0;236,6;9,7;18,5;185,8;9,0;3;1;6,2;0,90;
90101-10-01_16;90101-10-01_16_IFC 2013;90101-10-01;Pinus taeda;16;IFC 2013;2013;10,9;19,6;1459,0;2,3;16,4;14,4;319,5;345,0;23,1;48,0;248,4;11,0;3;2;4,2;0,93;
90101-10-01_16;90101-10-01_16_IFC 2013;90101-10-01;Pinus taeda;16;IFC 2013;2013;12,0;19,9;1459,0;2,4;16,8;17,6;347,3;373,4;35,8;70,7;240,8;12,0;3;3;3,9;0,93;
90101-1-01_21;90101-1-01_21_IFC 2010;90101-1-01;Pinus taeda;21;IFC 2010;2010;9,4;19,9;1538,9;2,5;13,7;14,1;278,1;302,7;12,5;41,2;224,4;9,0;3;1;5,1;0,92;
90101-1-01_21;90101-1-01_21_IFC 2013;90101-1-01;Pinus taeda;21;IFC 2013;2013;10,9;20,3;1538,9;2,6;17,1;16,7;374,3;401,3;22,1;70,1;282,1;11,0;3;2;3,8;0,93;
90101-1-01_21;90101-1-01_21_IFC 2013;90101-1-01;Pinus taeda;21;IFC 2013;2013;12,0;21,1;1479,0;2,7;17,8;19,5;409,3;435,1;45,5;72,8;291,1;12,0;3;3;3,4;0,94;
90101-11-01_14;90101-11-01_14_IFC 2010;90101-11-01;Pinus taeda;14;IFC 2010;2010;9,4;20,6;1519,0;2,6;14,0;15,9;297,9;322,7;19,1;40,3;238,5;9,0;3;1;4,7;0,92;
90101-11-01_14;90101-11-01_14_IFC 2013;90101-11-01;Pinus taeda;14;IFC 2013;2013;10,9;20,7;1499,0;2,6;17,2;16,8;372,6;398,1;28,9;58,0;285,7;11,0;3;2;3,8;0,94;
90101-11-01_14;90101-11-01_14_IFC 2013;90101-11-01;Pinus taeda;14;IFC 2013;2013;12,0;21,0;1499,0;2,7;17,8;20,1;406,5;433,6;46,8;72,3;287,4;12,0;3;3;3,5;0,94;
90101-12-01_13;90101-12-01_13_IFC 2010;90101-12-01;Pinus taeda;13;IFC 2010;2010;9,4;17,7;1538,9;2,0;13,0;13,0;201,2;227,0;0,0;9,2;192,0;9,0;2;1;6,8;0,89;
90101-12-01_13;90101-12-01_13_IFC 2013;90101-12-01;Pinus taeda;13;IFC 2013;2013;12,0;19,8;1479,0;2,4;16,8;16,8;331,6;356,8;12,2;47,4;272,0;12,0;2;2;4,1;0,93;
90101-13-01_10;90101-13-01_10_IFC 2010;90101-13-01;Pinus taeda;10;IFC 2010;2010;9,4;20,1;1479,0;2,4;14,0;16,2;277,7;302,6;9,6;41,3;226,9;9,0;2;1;4,9;0,92;
90101-13-01_10;90101-13-01_10_IFC 2013;90101-13-01;Pinus taeda;10;IFC 2013;2013;10,9;21,6;1459,0;2,8;17,7;18,2;410,3;437,3;35,2;84,3;290,8;11,0;2;2;3,3;0,94;
90101-13-01_12;90101-13-01_12_IFC 2010;90101-13-01;Pinus taeda;12;IFC 2010;2010;9,4;18,4;1519,0;2,1;13,4;14,6;224,7;249,8;0,0;15,3;209,4;9,0;2;1;6,1;0,90;
90101-13-01_12;90101-13-01_12_IFC 2013;90101-13-01;Pinus taeda;12;IFC 2013;2013;10,9;19,9;1459,0;2,4;16,8;15,2;327,4;353,1;9,8;47,6;269,9;11,0;2;2;4,1;0,93;
90101-14-01_11;90101-14-01_11_IFC 2010;90101-14-01;Pinus taeda;11;IFC 2010;2010;9,4;18,8;1439,0;2,1;13,5;14,6;227,0;248,2;0,0;21,8;205,3;9,0;3;1;5,8;0,91;
90101-14-01_11;90101-14-01_11_IFC 2013;90101-14-01;Pinus taeda;11;IFC 2013;2013;10,9;20,2;1439,0;2,4;16,8;15,3;333,2;360,8;15,0;67,6;250,6;11,0;3;2;4,0;0,92;
90101-14-01_11;90101-14-01_11_IFC 2013;90101-14-01;Pinus taeda;11;IFC 2013;2013;12,0;20,9;1439,0;2,6;17,5;18,5;382,9;407,9;37,7;83,6;261,6;12,0;3;3;3,5;0,94;
90101-15-01_3;90101-15-01_3_IFC 2010;90101-15-01;Pinus taeda;3;IFC 2010;2010;9,4;19,9;1519,0;2,5;13,8;15,7;283,9;309,5;16,3;53,6;214,0;9,0;3;1;4,9;0,92;
90101-15-01_3;90101-15-01_3_IFC 2013;90101-15-01;Pinus taeda;3;IFC 2013;2013;10,9;21,0;1439,0;2,6;17,5;18,2;384,4;410,2;34,1;82,9;267,4;11,0;3;2;3,5;0,94;
90101-15-01_3;90101-15-01_3_IFC 2013;90101-15-01;Pinus taeda;3;IFC 2013;2013;12,0;21,7;1439,0;2,8;17,8;19,5;420,7;444,7;62,5;84,2;274,1;12,0;3;3;3,2;0,95;
90101-16-01_2;90101-16-01_2_IFC 2010;90101-16-01;Pinus taeda;2;IFC 2010;2010;9,4;18,0;1538,9;2,1;13,0;13,4;213,3;239,1;0,0;12,7;200,7;9,0;3;1;6,4;0,89;
90101-16-01_2;90101-16-01_2_IFC 2013;90101-16-01;Pinus taeda;2;IFC 2013;2013;10,9;19,4;1519,0;2,4;16,6;15,9;323,0;350,5;6,4;50,0;266,6;11,0;3;2;4,3;0,92;
90101-16-01_2;90101-16-01_2_IFC 2013;90101-16-01;Pinus taeda;2;IFC 2013;2013;12,0;20,0;1499,0;2,5;16,9;17,1;347,9;376,6;18,7;61,2;268,1;12,0;3;3;4,0;0,92;
90101-17-01_1;90101-17-01_1_IFC 2010;90101-17-01;Pinus taeda;1;IFC 2010;2010;9,4;19,4;1419,0;2,2;13,6;14,7;240,8;264,2;3,0;27,2;210,6;9,0;3;1;5,4;0,91;
90101-17-01_1;90101-17-01_1_IFC 2013;90101-17-01;Pinus taeda;1;IFC 2013;2013;10,9;20,4;1379,1;2,3;17,2;17,5;335,2;359,5;15,8;47,6;271,9;11,0;3;2;3,8;0,93;
90101-17-01_1;90101-17-01_1_IFC 2013;90101-17-01;Pinus taeda;1;IFC 2013;2013;12,0;21,1;1379,1;2,5;17,4;18,3;368,9;392,8;34,7;70,7;263,5;12,0;3;3;3,5;0,94;
90101-18-01_9;90101-18-01_9_IFC 2010;90101-18-01;Pinus taeda;9;IFC 2010;2010;9,4;18,1;1578,9;2,1;13,2;14,3;221,9;247,6;0,0;9,5;212,4;9,0;2;1;6,4;0,90;
90101-18-01_9;90101-18-01_9_IFC 2013;90101-18-01;Pinus taeda;9;IFC 2013;2013;10,9;19,5;1558,9;2,5;16,9;17,1;341,7;370,8;2,9;57,6;281,3;11,0;2;2;4,2;0,92;
90101-20-01_4;90101-20-01_4_IFC 2010;90101-20-01;Pinus taeda;4;IFC 2010;2010;9,4;18,4;1499,0;2,1;13,1;13,9;218,7;242,9;0,0;24,2;194,5;9,0;3;1;6,2;0,90;
90101-20-01_4;90101-20-01_4_IFC 2013;90101-20-01;Pinus taeda;4;IFC 2013;2013;10,9;19,6;1499,0;2,4;16,7;16,7;329,1;356,1;15,6;56,7;256,8;11,0;3;2;4,2;0,92;
90101-20-01_4;90101-20-01_4_IFC 2013;90101-20-01;Pinus taeda;4;IFC 2013;2013;12,0;20,4;1439,0;2,5;17,0;17,5;350,4;375,2;34,4;57,7;258,3;12,0;3;3;3,8;0,93;
90101-2-01_22;90101-2-01_22_IFC 2010;90101-2-01;Pinus taeda;22;IFC 2010;2010;9,4;20,7;1499,0;2,6;14,0;15,9;309,4;333,2;38,3;56,4;214,7;9,0;3;1;4,5;0,93;
90101-2-01_22;90101-2-01_22_IFC 2013;90101-2-01;Pinus taeda;22;IFC 2013;2013;10,9;21,2;1499,0;2,8;17,3;17,4;407,9;434,8;64,2;75,5;268,3;11,0;3;2;3,4;0,94;
90101-2-01_22;90101-2-01_22_IFC 2013;90101-2-01;Pinus taeda;22;IFC 2013;2013;12,0;22,0;1459,0;2,9;18,2;20,4;464,3;489,8;98,7;90,8;274,7;12,0;3;3;3,0;0,95;
90101-2-01_23;90101-2-01_23_IFC 2010;90101-2-01;Pinus taeda;23;IFC 2010;2010;9,4;20,5;1538,9;2,7;13,8;14,6;305,8;331,2;28,8;61,2;215,9;9,0;3;1;4,6;0,92;
90101-2-01_23;90101-2-01_23_IFC 2013;90101-2-01;Pinus taeda;23;IFC 2013;2013;10,9;21,3;1499,0;2,8;17,2;16,8;413,0;439,0;58,7;92,0;262,2;11,0;3;2;3,4;0,94;
90101-2-01_23;90101-2-01_23_IFC 2013;90101-2-01;Pinus taeda;23;IFC 2013;2013;12,0;22,2;1459,0;3,0;18,2;20,4;466,6;491,6;98,6;99,6;268,4;12,0;3;3;3,0;0,95;
90101-21-01_5;90101-21-01_5_IFC 2010;90101-21-01;Pinus taeda;5;IFC 2010;2010;9,4;19,1;1538,9;2,4;13,5;14,8;261,5;285,5;6,7;47,3;207,5;9,0;3;1;5,4;0,92;
90101-21-01_5;90101-21-01_5_IFC 2013;90101-21-01;Pinus taeda;5;IFC 2013;2013;10,9;20,8;1538,9;2,8;17,2;17,8;404,9;432,7;56,5;79,4;269,0;11,0;3;2;3,6;0,94;
90101-21-01_5;90101-21-01_5_IFC 2013;90101-21-01;Pinus taeda;5;IFC 2013;2013;12,0;21,8;1519,0;3,0;17,7;18,6;454,4;481,2;82,9;95,4;276,2;12,0;3;3;3,2;0,94;
90101-22-01_6;90101-22-01_6_IFC 2010;90101-22-01;Pinus taeda;6;IFC 2010;2010;9,4;19,5;1658,9;2,5;13,8;15,9;283,9;310,9;0,0;35,9;248,0;9,0;3;1;5,3;0,91;
90101-22-01_6;90101-22-01_6_IFC 2013;90101-22-01;Pinus taeda;6;IFC 2013;2013;10,9;20,3;1598,9;2,7;17,3;18,6;385,8;414,9;24,5;54,4;307,0;11,0;3;2;3,9;0,93;
90101-22-01_6;90101-22-01_6_IFC 2013;90101-22-01;Pinus taeda;6;IFC 2013;2013;12,0;21,2;1598,9;2,9;17,7;19,4;437,4;464,1;43,4;65,4;328,6;12,0;3;3;3,4;0,94;
90101-22-01_7;90101-22-01_7_IFC 2010;90101-22-01;Pinus taeda;7;IFC 2010;2010;9,4;18,2;1499,0;2,0;13,2;14,0;214,8;239,4;0,0;14,5;200,3;9,0;3;1;6,3;0,90;
90101-22-01_7;90101-22-01_7_IFC 2013;90101-22-01;Pinus taeda;7;IFC 2013;2013;10,9;19,5;1479,0;2,3;16,8;16,5;319,9;347,5;6,2;44,4;269,3;11,0;3;2;4,3;0,92;
90101-22-01_7;90101-22-01_7_IFC 2013;90101-22-01;Pinus taeda;7;IFC 2013;2013;12,0;20,2;1479,0;2,5;17,1;17,8;354,3;381,0;21,4;62,7;270,3;12,0;3;3;3,9;0,93;
90101-24-01_8;90101-24-01_8_IFC 2010;90101-24-01;Pinus taeda;8;IFC 2010;2010;9,4;19,4;1399,0;2,1;13,5;14,3;236,5;259,3;3,1;34,7;198,7;9,0;2;1;5,4;0,91;
90101-24-01_8;90101-24-01_8_IFC 2013;90101-24-01;Pinus taeda;8;IFC 2013;2013;10,9;20,6;1379,1;2,4;17,0;16,8;337,0;362,1;25,3;55,5;256,2;11,0;2;2;3,8;0,93;
90101-27-01_30;90101-27-01_30_IFC 2010;90101-27-01;Pinus taeda;30;IFC 2010;2010;9,4;22,1;1259,1;2,6;14,2;15,9;301,3;319,6;44,3;59,1;197,8;9,0;3;1;3,9;0,94;
90101-27-01_30;90101-27-01_30_IFC 2013;90101-27-01;Pinus taeda;30;IFC 2013;2013;10,9;22,7;1259,1;2,7;17,8;18,7;404,5;426,1;71,9;79,7;252,9;11,0;3;2;3,0;0,95;
90101-27-01_30;90101-27-01_30_IFC 2013;90101-27-01;Pinus taeda;30;IFC 2013;2013;12,0;23,3;1259,1;2,8;18,6;22,0;455,0;475,9;114,4;86,0;254,7;12,0;3;3;2,6;0,96;
90101-27-01_31;90101-27-01_31_IFC 2010;90101-27-01;Pinus taeda;31;IFC 2010;2010;9,4;22,2;1279,1;2,5;14,2;15,3;302,8;323,1;36,6;70,3;195,9;9,0;3;1;4,0;0,94;
90101-27-01_31;90101-27-01_31_IFC 2013;90101-27-01;Pinus taeda;31;IFC 2013;2013;10,9;22,8;1279,1;2,7;17,6;16,6;406,9;427,6;83,1;79,9;243,9;11,0;3;2;3,0;0,95;
90101-27-01_31;90101-27-01_31_IFC 2013;90101-27-01;Pinus taeda;31;IFC 2013;2013;12,0;23,0;1279,1;2,7;18,3;20,8;438,9;459,9;94,2;93,7;251,0;12,0;3;3;2,8;0,95;
90101-28-01_32;90101-28-01_32_IFC 2010;90101-28-01;Pinus taeda;32;IFC 2010;2010;9,4;20,8;1419,0;2,5;14,0;15,6;292,9;315,2;30,3;53,1;209,5;9,0;3;1;4,5;0,93;
90101-28-01_32;90101-28-01_32_IFC 2013;90101-28-01;Pinus taeda;32;IFC 2013;2013;10,9;22,0;1399,0;2,8;17,4;17,0;408,5;432,0;73,4;79,3;255,8;11,0;3;2;3,2;0,95;
90101-28-01_32;90101-28-01_32_IFC 2013;90101-28-01;Pinus taeda;32;IFC 2013;2013;12,0;22,2;1399,0;2,8;18,0;20,5;443,8;467,3;104,1;76,4;263,2;12,0;3;3;3,0;0,95;
90101-38-01_33;90101-38-01_33_IFC 2010;90101-38-01;Pinus taeda;33;IFC 2010;2010;9,4;22,2;1199,2;2,4;14,3;15,6;282,2;300,6;19,3;71,2;191,7;9,0;3;1;4,0;0,94;
90101-38-01_33;90101-38-01_33_IFC 2013;90101-38-01;Pinus taeda;33;IFC 2013;2013;10,9;22,6;1199,2;2,5;17,6;17,2;366,5;388,3;38,6;96,7;231,1;11,0;3;2;3,1;0,94;
90101-38-01_33;90101-38-01_33_IFC 2013;90101-38-01;Pinus taeda;33;IFC 2013;2013;12,0;23,2;1199,2;2,6;18,4;20,5;416,4;437,0;94,6;89,4;232,5;12,0;3;3;2,7;0,95;
90101-39-01_34;90101-39-01_34_IFC 2010;90101-39-01;Pinus taeda;34;IFC 2010;2010;9,4;21,6;1319,1;2,5;14,1;15,9;297,4;318,6;30,2;58,3;208,9;9,0;3;1;4,1;0,93;
90101-39-01_34;90101-39-01_34_IFC 2013;90101-39-01;Pinus taeda;34;IFC 2013;2013;10,9;22,0;1239,1;2,5;17,5;18,0;363,6;384,5;53,7;68,4;241,5;11,0;3;2;3,2;0,95;
90101-39-01_34;90101-39-01_34_IFC 2013;90101-39-01;Pinus taeda;34;IFC 2013;2013;12,0;22,9;1219,2;2,7;18,2;20,9;408,7;430,3;89,6;79,4;239,8;12,0;3;3;2,8;0,95;
90101-4-01_24;90101-4-01_24_IFC 2010;90101-4-01;Pinus taeda;24;IFC 2010;2010;9,4;20,0;1459,0;2,4;13,7;15,7;276,2;298,9;23,0;43,9;209,3;9,0;3;1;4,9;0,92;
90101-4-01_24;90101-4-01_24_IFC 2013;90101-4-01;Pinus taeda;24;IFC 2013;2013;10,9;21,1;1439,0;2,6;16,8;16,5;370,8;395,7;41,2;62,7;266,9;11,0;3;2;3,6;0,94;
90101-4-01_24;90101-4-01_24_IFC 2013;90101-4-01;Pinus taeda;24;IFC 2013;2013;12,0;22,2;1379,1;2,8;18,0;20,0;428,8;452,0;74,1;84,0;270,6;12,0;3;3;3,1;0,95;
90101-49-01_27;90101-49-01_27_IFC 2010;90101-49-01;Pinus taeda;27;IFC 2010;2010;9,4;18,8;1598,9;2,3;13,5;15,2;254,1;279,0;0,0;36,7;217,4;9,0;3;1;5,7;0,91;
90101-49-01_27;90101-49-01_27_IFC 2013;90101-49-01;Pinus taeda;27;IFC 2013;2013;10,9;20,7;1558,9;2,7;17,3;17,5;392,5;420,9;31,6;61,2;299,6;11,0;3;2;3,7;0,93;
90101-49-01_27;90101-49-01_27_IFC 2013;90101-49-01;Pinus taeda;27;IFC 2013;2013;12,0;21,1;1558,9;2,8;17,5;18,6;417,8;445,6;39,1;71,7;307,0;12,0;3;3;3,5;0,94;
90101-50-01_26;90101-50-01_26_IFC 2010;90101-50-01;Pinus taeda;26;IFC 2010;2010;9,4;17,8;1519,0;2,0;13,0;13,2;201,6;228,4;3,1;2,4;196,0;9,0;3;1;6,7;0,88;
90101-50-01_26;90101-50-01_26_IFC 2013;90101-50-01;Pinus taeda;26;IFC 2013;2013;10,9;19,4;1519,0;2,3;16,8;16,1;323,6;350,8;6,3;37,5;279,9;11,0;3;2;4,3;0,92;
90101-50-01_26;90101-50-01_26_IFC 2013;90101-50-01;Pinus taeda;26;IFC 2013;2013;12,0;19,5;1519,0;2,4;16,9;17,5;334,5;362,5;9,4;42,2;283,0;12,0;3;3;4,2;0,92;
90101-5-01_20;90101-5-01_20_IFC 2010;90101-5-01;Pinus taeda;20;IFC 2010;2010;9,4;19,7;1598,9;2,6;13,5;14,0;281,8;306,5;15,8;43,5;222,5;9,0;2;1;5,2;0,92;
90101-5-01_20;90101-5-01_20_IFC 2013;90101-5-01;Pinus taeda;20;IFC 2013;2013;12,0;20,7;1598,9;2,8;17,4;19,2;424,2;452,7;69,5;76,8;277,9;12,0;2;2;3,5;0,94;
90101-52-01_29;90101-52-01_29_IFC 2010;90101-52-01;Pinus taeda;29;IFC 2010;2010;9,4;20,3;1379,1;2,4;13,9;16,2;271,2;294,7;16,1;50,4;204,6;9,0;3;1;4,7;0,92;
90101-52-01_29;90101-52-01_29_IFC 2013;90101-52-01;Pinus taeda;29;IFC 2013;2013;10,9;21,3;1359,1;2,6;17,5;18,1;375,6;399,9;38,5;75,8;261,3;11,0;3;2;3,4;0,94;
90101-52-01_29;90101-52-01_29_IFC 2013;90101-52-01;Pinus taeda;29;IFC 2013;2013;12,0;21,8;1359,1;2,7;17,9;20,8;409,1;433,3;57,3;94,7;257,2;12,0;3;3;3,1;0,94;
90101-53-01_28;90101-53-01_28_IFC 2010;90101-53-01;Pinus taeda;28;IFC 2010;2010;9,4;19,7;1459,0;2,3;13,8;16,0;262,8;285,3;10,9;39,3;212,7;9,0;3;1;5,1;0,92;
90101-53-01_28;90101-53-01_28_IFC 2013;90101-53-01;Pinus taeda;28;IFC 2013;2013;10,9;21,0;1399,0;2,6;17,5;18,9;373,8;399,3;42,3;67,7;263,8;11,0;3;2;3,5;0,94;
90101-53-01_28;90101-53-01_28_IFC 2013;90101-53-01;Pinus taeda;28;IFC 2013;2013;12,0;21,7;1399,0;2,7;17,9;20,7;417,3;441,2;66,4;80,6;270,3;12,0;3;3;3,2;0,95;
90101-7-01_15;90101-7-01_15_IFC 2010;90101-7-01;Pinus taeda;15;IFC 2010;2010;9,4;20,7;1419,0;2,5;14,0;15,7;291,5;311,5;11,9;58,6;221,0;9,0;3;1;4,6;0,94;
90101-7-01_15;90101-7-01_15_IFC 2013;90101-7-01;Pinus taeda;15;IFC 2013;2013;10,9;21,3;1379,1;2,6;17,2;16,3;371,3;395,9;25,4;86,0;259,9;11,0;3;2;3,5;0,94;
90101-7-01_15;90101-7-01_15_IFC 2013;90101-7-01;Pinus taeda;15;IFC 2013;2013;12,0;21,7;1379,1;2,7;18,0;21,0;414,3;438,9;47,3;98,4;268,6;12,0;3;3;3,1;0,94;
90101-71-01_35;90101-71-01_35_IFC 2010;90101-71-01;Pinus taeda;35;IFC 2010;2010;9,4;22,0;1279,1;2,5;14,3;15,7;298,0;318,5;29,0;71,6;197,4;9,0;3;1;4,0;0,94;
90101-71-01_35;90101-71-01_35_IFC 2013;90101-71-01;Pinus taeda;35;IFC 2013;2013;10,9;22,6;1279,1;2,7;17,8;17,4;403,0;424,0;72,9;84,8;245,2;11,0;3;2;3,0;0,95;
90101-71-01_35;90101-71-01_35_IFC 2013;90101-71-01;Pinus taeda;35;IFC 2013;2013;12,0;23,4;1259,1;2,8;18,4;20,7;450,7;471,2;121,4;85,7;243,7;12,0;3;3;2,7;0,96;
90101-73-01_36;90101-73-01_36_IFC 2010;90101-73-01;Pinus taeda;36;IFC 2010;2010;9,4;22,7;1239,1;2,6;14,4;15,6;315,9;335,1;58,2;66,6;191,1;9,0;3;1;3,7;0,94;
90101-73-01_36;90101-73-01_36_IFC 2013;90101-73-01;Pinus taeda;36;IFC 2013;2013;10,9;23,2;1199,2;2,7;17,8;17,5;402,1;423,9;82,0;95,5;224,7;11,0;3;2;2,8;0,95;
90101-73-01_36;90101-73-01_36_IFC 2013;90101-73-01;Pinus taeda;36;IFC 2013;2013;12,0;24,5;1139,2;2,9;18,6;19,5;444,2;464,7;122,4;101,7;220,1;12,0;3;3;2,5;0,96;
90101-8-01_17;90101-8-01_17_IFC 2010;90101-8-01;Pinus taeda;17;IFC 2010;2010;9,4;20,4;1578,9;2,7;13,7;14,9;303,8;330,7;25,6;57,0;221,3;9,0;3;1;4,8;0,92;
90101-8-01_17;90101-8-01_17_IFC 2013;90101-8-01;Pinus taeda;17;IFC 2013;2013;10,9;20,3;1538,9;2,6;17,2;18,8;379,3;406,6;45,5;52,4;281,4;11,0;3;2;3,8;0,93;
90101-8-01_17;90101-8-01_17_IFC 2013;90101-8-01;Pinus taeda;17;IFC 2013;2013;12,0;21,4;1459,0;2,8;17,6;19,8;410,3;435,8;66,3;69,9;274,1;12,0;3;3;3,3;0,94;
90101-9-01_18;90101-9-01_18_IFC 2010;90101-9-01;Pinus taeda;18;IFC 2010;2010;9,4;21,1;1519,0;2,7;14,1;16,1;322,9;346,7;29,8;60,4;232,7;9,0;2;1;4,4;0,93;
90101-9-01_18;90101-9-01_18_IFC 2013;90101-9-01;Pinus taeda;18;IFC 2013;2013;10,9;21,5;1499,0;2,9;17,7;19,6;427,6;453,3;59,7;74,2;293,7;11,0;2;2;3,3;0,94;
90103-1016-99_1;90103-1016-99_1_IFC 2010;90103-1016-99;Pinus taeda;1;IFC 2010;2010;11,4;22,2;1259,1;2,6;17,1;19,2;384,5;405,6;57,4;78,7;248,4;11,0;2;1;3,1;0,95;
90103-1016-99_1;90103-1016-99_1_IFC 2012;90103-1016-99;Pinus taeda;1;IFC 2012;2012;12,9;22,9;1219,2;2,7;19,7;21,2;432,3;453,3;70,2;96,0;266,1;13,0;2;2;2,7;0,95;
90103-1017-99_3;90103-1017-99_3_IFC 2010;90103-1017-99;Pinus taeda;3;IFC 2010;2010;11,4;22,3;1399,0;2,8;17,1;17,8;420,9;444,7;55,2;89,4;276,3;11,0;2;1;3,1;0,95;
90103-1017-99_3;90103-1017-99_3_IFC 2012;90103-1017-99;Pinus taeda;3;IFC 2012;2012;12,9;22,9;1379,1;3,0;19,7;21,7;481,1;505,5;65,9;98,5;316,7;13,0;2;2;2,7;0,95;
90103-1018-99_4;90103-1018-99_4_IFC 2010;90103-1018-99;Pinus taeda;4;IFC 2010;2010;11,4;22,8;1319,1;2,8;17,1;17,5;413,7;435,3;62,1;97,9;253,6;11,0;2;1;3,0;0,95;
90103-1018-99_4;90103-1018-99_4_IFC 2012;90103-1018-99;Pinus taeda;4;IFC 2012;2012;12,9;23,2;1319,1;2,9;19,6;20,7;472,2;495,6;79,0;99,7;293,5;13,0;2;2;2,7;0,95;
90103-1019-99_6;90103-1019-99_6_IFC 2010;90103-1019-99;Pinus taeda;6;IFC 2010;2010;11,4;23,5;1219,2;2,7;17,4;18,4;412,6;432,6;78,4;90,5;243,8;11,0;2;1;2,8;0,95;
90103-1019-99_6;90103-1019-99_6_IFC 2012;90103-1019-99;Pinus taeda;6;IFC 2012;2012;12,9;24,1;1199,2;2,8;20,0;21,2;469,7;489,8;102,9;95,1;271,7;13,0;2;2;2,4;0,96;
90103-1020-99_5;90103-1020-99_5_IFC 2010;90103-1020-99;Pinus taeda;5;IFC 2010;2010;11,4;22,4;1419,0;2,9;17,1;18,2;426,0;450,8;40,1;99,3;286,7;11,0;2;1;3,1;0,94;
90103-1020-99_5;90103-1020-99_5_IFC 2012;90103-1020-99;Pinus taeda;5;IFC 2012;2012;12,9;22,8;1399,0;2,9;19,4;18,4;473,4;497,9;48,3;108,5;316,6;13,0;2;2;2,8;0,95;
90103-1021-99_10;90103-1021-99_10_IFC 2010;90103-1021-99;Pinus taeda;10;IFC 2010;2010;11,4;23,4;1239,1;2,7;17,4;18,5;417,5;437,6;76,6;92,2;248,7;11,0;2;1;2,8;0,95;
90103-1021-99_10;90103-1021-99_10_IFC 2012;90103-1021-99;Pinus taeda;10;IFC 2012;2012;12,9;23,2;1239,1;2,7;19,3;18,5;434,4;456,8;62,5;112,6;259,3;13,0;2;2;2,7;0,95;
90103-1022-99_8;90103-1022-99_8_IFC 2010;90103-1022-99;Pinus taeda;8;IFC 2010;2010;11,4;22,7;1519,0;3,1;17,3;18,5;470,6;496,7;47,5;125,2;297,9;11,0;2;1;3,1;0,95;
90103-1022-99_8;90103-1022-99_8_IFC 2012;90103-1022-99;Pinus taeda;8;IFC 2012;2012;12,9;22,3;1479,0;3,0;19,3;19,5;473,1;498,1;25,4;100,1;347,6;13,0;2;2;3,0;0,95;
90103-1023-99_7;90103-1023-99_7_IFC 2010;90103-1023-99;Pinus taeda;7;IFC 2010;2010;11,4;20,9;1538,9;2,7;16,7;18,4;395,9;422,4;31,3;63,6;301,1;11,0;2;1;3,6;0,94;
90103-1023-99_7;90103-1023-99_7_IFC 2012;90103-1023-99;Pinus taeda;7;IFC 2012;2012;12,9;20,7;1519,0;2,6;18,8;19,3;408,7;435,6;24,5;56,5;327,7;13,0;2;2;3,5;0,94;
90103-1037-98_3;90103-1037-98_3_IFC 2011;90103-1037-98;Pinus taeda;3;IFC 2011;2011;13,5;24,1;1319,1;3,2;23,0;23,2;611,6;635,5;162,7;124,8;324,2;13,0;2;1;2,1;0,96;
90103-1037-98_3;90103-1037-98_3_IPC 2013;90103-1037-98;Pinus taeda;3;IPC 2013;2013;14,7;25,4;1259,1;3,4;22,5;24,0;635,1;658,3;202,3;146,4;286,4;15,0;2;2;1,9;0,96;
90103-1-05_2;90103-1-05_2_IFC 2013;90103-1-05;Pinus taeda;2;IFC 2013;2013;7,1;18,2;1618,9;2,2;13,0;12,7;227,2;256,1;3,1;11,6;212,6;7,0;2;1;6,3;0,89;
90103-1-05_2;90103-1-05_2_IFC 2013;90103-1-05;Pinus taeda;2;IFC 2013;2013;7,9;19,3;1598,9;2,4;13,5;15,3;270,3;296,7;6,8;30,6;232,9;8,0;2;2;5,4;0,91;
90103-1083-03_21;90103-1083-03_21_IFC 2010;90103-1083-03;Pinus taeda;21;IFC 2010;2010;7,4;19,5;1399,0;2,2;12,3;12,6;239,6;262,6;20,9;38,5;180,2;7,0;3;1;5,3;0,91;
90103-1083-03_21;90103-1083-03_21_IFC 2013;90103-1083-03;Pinus taeda;21;IFC 2013;2013;8,9;21,3;1359,1;2,6;15,6;13,5;340,6;362,3;57,0;65,5;218,1;9,0;3;2;3,8;0,94;
90103-1083-03_21;90103-1083-03_21_IFC 2013;90103-1083-03;Pinus taeda;21;IFC 2013;2013;10,1;22,0;1359,1;2,8;16,2;16,6;376,8;398,3;77,5;77,0;222,4;10,0;3;3;3,4;0,95;
90103-1094-03_16;90103-1094-03_16_IFC 2010;90103-1094-03;Pinus taeda;16;IFC 2010;2010;7,4;19,4;1558,9;2,4;12,5;13,7;262,5;288,0;6,0;36,4;220,1;7,0;2;1;5,4;0,91;
90103-1094-03_16;90103-1094-03_16_IFC 2013;90103-1094-03;Pinus taeda;16;IFC 2013;2013;8,9;20,3;1558,9;2,7;16,0;16,1;354,3;379,2;14,9;70,4;269,1;9,0;2;2;4,1;0,93;
